-1 1:0.501438 2:0.158022 3:0.066592 4:0.000000 5:0.255474 6:0.233773 7:0.096822 8:0.236492 9:0.826157 
-1 1:0.049099 2:0.139257 3:0.440134 4:0.000000 5:0.375227 6:0.098101 7:0.000000 8:0.446590 9:0.934578 
-1 1:0.604297 2:0.171394 3:0.180568 4:0.116892 5:0.057728 6:0.060371 7:0.233364 8:0.122144 9:0.744080 
-1 1:0.224453 2:0.242515 3:0.095811 4:0.093036 5:0.428830 6:0.032033 7:0.030956 8:0.388867 9:0.727180 
-1 1:0.523724 2:0.141467 3:0.000000 4:0.000000 5:0.285887 6:0.000000 7:0.000000 8:0.604904 9:0.573928 
-1 1:0.282811 2:0.000000 3:0.031298 4:0.273528 5:0.360218 6:0.062785 7:0.212361 8:0.317575 9:0.953175 
-1 1:0.306570 2:0.217376 3:0.114507 4:0.074126 5:0.292860 6:0.153134 7:0.110991 8:0.271101 9:0.718662 
-1 1:0.054179 2:0.204884 3:0.485666 4:0.419201 5:0.000000 6:0.000000 7:0.000000 8:0.383280 9:1.165124 
-1 1:0.344891 2:0.253607 3:0.000000 4:0.222380 5:0.329467 6:0.076566 7:0.110991 8:0.193643 9:0.986945 
-1 1:0.418980 2:0.247569 3:0.052164 4:0.101307 5:0.350211 6:0.052320 7:0.252812 8:0.052929 9:0.957004 
-1 1:0.177869 2:0.196185 3:0.206687 4:0.172031 5:0.056638 6:0.148078 7:0.286201 8:0.299599 9:0.955957 
-1 1:0.349149 2:0.123784 3:0.000000 4:0.274373 5:0.250152 6:0.109001 7:0.189608 8:0.242592 9:0.962662 
-1 1:0.174575 2:0.055015 3:0.289800 4:0.253268 5:0.361330 6:0.000000 7:0.196632 8:0.205836 9:0.780350 
-1 1:0.211503 2:0.314221 3:0.270852 4:0.204561 5:0.259773 6:0.181111 7:0.058342 8:0.030536 9:0.894984 
-1 1:0.248080 2:0.508166 3:0.205911 4:0.079980 5:0.118492 6:0.165223 7:0.119752 8:0.083573 9:1.124562 
-1 1:0.349149 2:0.000000 3:0.000000 4:0.337689 5:0.500302 6:0.348804 7:0.000000 8:0.000000 9:0.865628 
-1 1:0.135446 2:0.230494 3:0.107926 4:0.104801 5:0.284655 6:0.081187 7:0.235375 8:0.355903 9:0.966650 
-1 1:0.428501 2:0.067519 3:0.142265 4:0.069074 5:0.272892 6:0.071347 7:0.413691 8:0.072177 9:0.661865 
-1 1:0.000000 2:0.000000 3:0.217350 4:0.379901 5:0.375227 6:0.174402 7:0.126405 8:0.264646 9:0.776644 
-1 1:0.434580 2:0.000000 3:0.099889 4:0.517312 5:0.063868 6:0.333962 7:0.096822 8:0.000000 9:0.661403 
-1 1:0.725156 2:0.000000 3:0.240757 4:0.350677 5:0.000000 6:0.000000 7:0.058342 8:0.183217 9:1.128948 
-1 1:0.292931 2:0.226587 3:0.185669 4:0.103024 5:0.000000 6:0.026603 7:0.334225 8:0.376784 9:0.911652 
-1 1:0.062847 2:0.000000 3:0.000000 4:0.182352 5:0.300181 6:0.125570 7:0.606747 8:0.254060 9:1.012790 
